name,defender_name,shot_made_flag,n_shot,n_made
Aaron Brooks,Jared Sullinger,3,5,3
Aaron Brooks,Jarrett Jack,1,5,1
Aaron Brooks,Jason Maxiell,1,1,1
Aaron Brooks,Jason Smith,1,2,1
Aaron Brooks,Jason Terry,0,2,0
Aaron Brooks,Jeff Ayres,1,1,1
Aaron Brooks,Jeff Green,0,1,0
Aaron Brooks,Jeff Teague,1,5,1
Aaron Brooks,Jeff Withey,1,3,1
Aaron Brooks,Jerami Grant,0,1,0
Aaron Brooks,Jeremy Lin,3,8,3
Aaron Brooks,Jerome Jordan,1,4,1
Aaron Brooks,Jerryd Bayless,2,6,2
Aaron Brooks,Jimmer Fredette,2,4,2
Aaron Brooks,Jodie Meeks,1,2,1
Aaron Brooks,Joel Anthony,1,6,1
Aaron Brooks,John Henson,1,6,1
Aaron Brooks,John Lucas III,0,3,0
Aaron Brooks,John Wall,1,7,1
Aaron Brooks,Jonas Valanciunas,1,4,1
Aaron Brooks,Jordan Clarkson,1,3,1
Aaron Brooks,Jordan Farmar,0,2,0
Aaron Brooks,Jordan Hill,0,2,0
Aaron Brooks,Jose Juan Barea,1,2,1
Aaron Brooks,Josh Smith,1,1,1
Aaron Brooks,Jrue Holiday,1,3,1
Aaron Brooks,Jusuf Nurkic,0,2,0
Aaron Brooks,KJ McDaniels,0,1,0
Aaron Brooks,Kelly Olynyk,5,8,5
Aaron Brooks,Kemba Walker,1,3,1
Aaron Brooks,Kent Bazemore,1,1,1
Aaron Brooks,Kentavious Caldwell-Pope,0,1,0
Aaron Brooks,Kevin Garnett,2,3,2
Aaron Brooks,Kevin Love,1,4,1
Aaron Brooks,Kevin Martin,0,1,0
Aaron Brooks,Kevin Seraphin,3,5,3
Aaron Brooks,Khris Middleton,0,1,0
Aaron Brooks,Klay Thompson,1,3,1
Aaron Brooks,Kostas Papanikolaou,1,1,1
Aaron Brooks,Kris Humphries,0,2,0
Aaron Brooks,Kyle Korver,1,1,1
Aaron Brooks,Kyle O'Quinn,0,1,0
Aaron Brooks,Kyrie Irving,6,17,6
Aaron Brooks,LaMarcus Aldridge,1,5,1
Aaron Brooks,Lance Stephenson,2,2,2
Aaron Brooks,Lance Thomas,0,2,0
Aaron Brooks,Langston Galloway,1,2,1
Aaron Brooks,LeBron James,0,2,0
Aaron Brooks,Lou Amundson,0,1,0
Aaron Brooks,Lou Williams,4,8,4
Aaron Brooks,Luc Mbah a Moute,2,2,2
Aaron Brooks,Luis Scola,0,1,0
Aaron Brooks,Luke Ridnour,2,6,2
Aaron Brooks,Luol Deng,0,3,0
Aaron Brooks,Marc Gasol,1,3,1
Aaron Brooks,Marcin Gortat,3,6,3
Aaron Brooks,Marcus Morris,1,2,1
Aaron Brooks,Marcus Smart,3,5,3
Aaron Brooks,Marcus Thornton,1,1,1
Aaron Brooks,Mario Chalmers,4,6,4
Aaron Brooks,Markieff Morris,1,2,1
Aaron Brooks,Marreese Speights,0,1,0
Aaron Brooks,Marvin Williams,4,6,4
Aaron Brooks,Mason Plumlee,2,5,2
Aaron Brooks,Matt Barnes,1,4,1
Aaron Brooks,Matt Bonner,1,1,1
Aaron Brooks,Matthew Dellavedova,5,8,5
Aaron Brooks,Maurice Harkless,1,2,1
Aaron Brooks,Michael Beasley,3,3,3
Aaron Brooks,Michael Carter-Williams,1,2,1
Aaron Brooks,Michael Kidd-Gilchrist,1,4,1
Aaron Brooks,Mike Conley,3,8,3
Aaron Brooks,Mike Muscala,2,2,2
Aaron Brooks,Mike Scott,0,1,0
Aaron Brooks,Miles Plumlee,1,2,1
Aaron Brooks,Mirza Teletovic,1,1,1
Aaron Brooks,Mo Williams,9,16,9
Aaron Brooks,Nate Robinson,1,3,1
Aaron Brooks,Nene,5,9,5
Aaron Brooks,Nerlens Noel,3,4,3
Aaron Brooks,Nicolas Batum,2,2,2
Aaron Brooks,Nikola Pekovic,1,5,1
Aaron Brooks,Norris Cole,0,2,0
Aaron Brooks,O.J. Mayo,1,4,1
Aaron Brooks,Omri Casspi,0,2,0
Aaron Brooks,Otto Porter,1,1,1
Aaron Brooks,PJ Hairston,0,1,0
Aaron Brooks,PJ Tucker,0,1,0
Aaron Brooks,Pablo Prigioni,1,1,1
Aaron Brooks,Patrick Beverley,0,1,0
Aaron Brooks,Patrick Patterson,1,1,1
Aaron Brooks,Patty Mills,1,1,1
Aaron Brooks,Paul Millsap,2,4,2
Aaron Brooks,Paul Pierce,1,3,1
Aaron Brooks,Pero Antic,0,2,0
Aaron Brooks,Phil Pressey,5,14,5
Aaron Brooks,Quincy Acy,1,1,1
Aaron Brooks,Quincy Pondexter,2,2,2
Aaron Brooks,Ramon Sessions,2,5,2
Aaron Brooks,Rasual Butler,3,6,3
Aaron Brooks,Ray McCallum,2,3,2
Aaron Brooks,Reggie Bullock,0,1,0
Aaron Brooks,Reggie Evans,0,1,0
Aaron Brooks,Reggie Jackson,6,8,6
Aaron Brooks,Richard Jefferson,1,1,1
Aaron Brooks,Ricky Rubio,3,7,3
Aaron Brooks,Robert Covington,0,1,0
Aaron Brooks,Robert Sacre,2,3,2
Aaron Brooks,Robin Lopez,2,3,2
Aaron Brooks,Ronnie Price,0,1,0
Aaron Brooks,Roy Hibbert,4,5,4
Aaron Brooks,Rudy Gobert,0,1,0
Aaron Brooks,Russell Westbrook,1,2,1
Aaron Brooks,Serge Ibaka,0,4,0
Aaron Brooks,Shabazz Napier,4,6,4
Aaron Brooks,Shane Larkin,7,10,7
Aaron Brooks,Shaun Livingston,1,2,1
Aaron Brooks,Shawn Marion,0,1,0
Aaron Brooks,Shawne Williams,1,1,1
Aaron Brooks,Shelvin Mack,2,4,2
Aaron Brooks,Spencer Dinwiddie,0,1,0
Aaron Brooks,Spencer Hawes,0,1,0
Aaron Brooks,Stephen Curry,1,3,1
Aaron Brooks,Steve Blake,1,2,1
Aaron Brooks,Steven Adams,2,3,2
Aaron Brooks,Terrence Ross,4,6,4
Aaron Brooks,Thomas Robinson,2,3,2
Aaron Brooks,Tiago Splitter,0,3,0
Aaron Brooks,Tim Duncan,1,1,1
Aaron Brooks,Tim Hardaway Jr.,1,1,1
Aaron Brooks,Timofey Mozgov,3,6,3
Aaron Brooks,Tobias Harris,3,5,3
Aaron Brooks,Toney Douglas,0,2,0
Aaron Brooks,Tony Parker,4,6,4
Aaron Brooks,Tony Wroten,1,1,1
Aaron Brooks,Travis Wear,0,1,0
Aaron Brooks,Trevor Ariza,1,1,1
Aaron Brooks,Trey Burke,4,8,4
Aaron Brooks,Tristan Thompson,2,2,2
Aaron Brooks,Ty Lawson,0,5,0
Aaron Brooks,Tyler Ennis,0,5,0
Aaron Brooks,Tyler Hansbrough,0,2,0
Aaron Brooks,Tyler Zeller,0,1,0
Aaron Brooks,Tyreke Evans,1,3,1
Aaron Brooks,Tyson Chandler,1,1,1
Aaron Brooks,Vince Carter,1,1,1
Aaron Brooks,Wayne Ellington,2,3,2
Aaron Brooks,Wesley Johnson,0,1,0
Aaron Brooks,Wesley Matthews,0,1,0
Aaron Brooks,Willie Green,1,2,1
Aaron Brooks,Wilson Chandler,2,2,2
Aaron Brooks,Zach LaVine,1,3,1
Aaron Brooks,Zach Randolph,3,4,3
Aaron Brooks,Zaza Pachulia,1,2,1
Aaron Gordon,Aaron Brooks,0,1,0
Aaron Gordon,Al Horford,0,1,0
Aaron Gordon,Alexis Ajinca,2,2,2
Aaron Gordon,Amar'e Stoudemire,2,2,2
Aaron Gordon,Andrea Bargnani,0,1,0
Aaron Gordon,Andrew Wiggins,2,2,2
Aaron Gordon,Anthony Davis,0,1,0
Aaron Gordon,Anthony Morrow,1,1,1
Aaron Gordon,Anthony Tolliver,1,2,1
Aaron Gordon,Austin Rivers,0,1,0
Aaron Gordon,Ben McLemore,1,1,1
Aaron Gordon,Boris Diaw,0,1,0
Aaron Gordon,Brook Lopez,1,2,1
Aaron Gordon,CJ Watson,0,1,0
Aaron Gordon,Carlos Boozer,1,1,1
Aaron Gordon,Charlie Villanueva,0,2,0
Aaron Gordon,Chase Budinger,0,1,0
Aaron Gordon,Chris Andersen,0,2,0
Aaron Gordon,Cleanthony Early,0,1,0
Aaron Gordon,Corey Brewer,0,1,0
Aaron Gordon,Cory Jefferson,0,2,0
Aaron Gordon,Damjan Rudez,1,2,1
Aaron Gordon,David West,1,1,1
Aaron Gordon,Deron Williams,0,1,0
Aaron Gordon,Devin Harris,0,2,0
Aaron Gordon,Dirk Nowitzki,2,4,2
Aaron Gordon,Doug McDermott,1,3,1
Aaron Gordon,Drew Gooden,1,2,1
Aaron Gordon,Ed Davis,1,2,1
Aaron Gordon,Eric Gordon,0,1,0
Aaron Gordon,Erick Green,0,1,0
Aaron Gordon,Ersan Ilyasova,0,1,0
Aaron Gordon,Garrett Temple,0,1,0
Aaron Gordon,Gary Harris,1,1,1
Aaron Gordon,Giannis Antetokounmpo,1,2,1
Aaron Gordon,Glen Rice Jr.,1,1,1
Aaron Gordon,Goran Dragic,1,3,1
Aaron Gordon,Gorgui Dieng,3,3,3
Aaron Gordon,Greg Smith,0,2,0
