name,score1,msp1,score2,msp2,score3,msp3
Rodney Purvis,0.854,Raul Neto,0.791,Zach LaVine,0.783,Alec Burks
Ron Baker,0.851,Trevor Ariza,0.838,Larry Drew II,0.835,Andre Roberson
Rondae HollisJefferson,0.937,Tobias Harris,0.927,Bojan Bogdanovic,0.926,Paul Millsap
Royce ONeale,0.851,CJ Williams,0.844,Aaron Gordon,0.821,Pau Gasol
Rudy Gay,0.956,Markieff Morris,0.951,DAngelo Russell,0.951,Courtney Lee
Rudy Gobert,0.788,Dante Cunningham,0.781,Ben Simmons,0.771,Jeff Green
Russell Westbrook,0.957,George Hill,0.957,CJ McCollum,0.956,Paul George
Ryan Anderson,0.889,Jayson Tatum,0.885,Tim Hardaway Jr,0.883,Carmelo Anthony
Ryan Arcidiacono,0.892,Torrey Craig,0.75,Terrence Ross,0.748,Eric Gordon
Salah Mejri,0.855,Eric Moreland,0.773,Nick Collison,0.759,Tarik Black
Sam Dekker,0.844,Brandan Wright,0.835,Ekpe Udoh,0.812,Caris LeVert
Sean Kilpatrick,0.889,DAngelo Russell,0.887,Darren Collison,0.883,Devin Booker
Semi Ojeleye,0.761,Paul Zipser,0.761,Kyle Lowry,0.744,CJ Williams
Serge Ibaka,0.977,Jordan Clarkson,0.976,Kevin Durant,0.976,Harrison Barnes
Shabazz Muhammad,0.857,Jonathon Simmons,0.841,Thaddeus Young,0.838,Dennis Smith Jr
Shabazz Napier,0.95,Victor Oladipo,0.929,Marc Gasol,0.927,Evan Fournier
Shane Larkin,0.861,Kyle Lowry,0.854,Shabazz Napier,0.844,DeMarcus Cousins
Shaquille Harrison,0.85,Dante Exum,0.803,OG Anunoby,0.757,Jabari Bird
Shaun Livingston,0.901,Jusuf Nurkic,0.893,Jonathon Simmons,0.884,Dwyane Wade
Shelvin Mack,0.943,DeMar DeRozan,0.937,Devin Booker,0.935,Pau Gasol
Sindarius Thornwell,0.869,Denzel Valentine,0.856,Harrison Barnes,0.853,Jeremy Lamb
Skal Labissiere,0.939,Jeff Teague,0.931,Tobias Harris,0.931,Michael Beasley
Solomon Hill,0.817,Jake Layman,0.738,Malachi Richardson,0.726,Amir Johnson
Spencer Dinwiddie,0.947,Kyrie Irving,0.946,George Hill,0.943,Klay Thompson
Stanley Johnson,0.966,DeAaron Fox,0.952,Gary Harris,0.949,Harrison Barnes
Stephen Curry,0.945,Dennis Schroder,0.943,Otto Porter Jr,0.943,LeBron James
Sterling Brown,0.891,Marco Belinelli,0.85,Jerian Grant,0.84,Bogdan Bogdanovic
Steven Adams,0.905,Zaza Pachulia,0.895,Clint Capela,0.871,Andre Drummond
Taj Gibson,0.953,Giannis Antetokounmpo,0.949,Jeremy Lamb,0.942,DeMar DeRozan
Tarik Black,0.848,Tony Allen,0.817,Derrick Jones Jr,0.811,Eric Moreland
Taurean Prince,0.949,Dillon Brooks,0.945,Kelly Olynyk,0.941,Michael Beasley
Terrance Ferguson,0.777,Vince Carter,0.766,Thabo Sefolosha,0.761,Shelvin Mack
Terrence Ross,0.904,Mike Muscala,0.893,Goran Dragic,0.89,Andrew Wiggins
Terry Rozier,0.963,Paul George,0.961,Bradley Beal,0.955,Donovan Mitchell
Thabo Sefolosha,0.914,Trey Lyles,0.911,Jayson Tatum,0.908,Kyle Anderson
Thaddeus Young,0.975,KarlAnthony Towns,0.97,Jonathon Simmons,0.963,Kyrie Irving
Thomas Bryant,0.745,Malik Beasley,0.714,Furkan Korkmaz,0.693,Markelle Fultz
Thon Maker,0.925,Damian Lillard,0.924,Harrison Barnes,0.913,Kris Dunn
Tim Frazier,0.891,Kent Bazemore,0.889,Lance Stephenson,0.887,Jamal Crawford
